Scenario,Flexibility,Demand,Market,Category,Cost_Type,Carrier,Value_100p_EUR,Value_100p_Billion_EUR,Value_Non_Flex_EUR,Value_Non_Flex_Billion_EUR,Difference_EUR,Difference_Billion_EUR,Difference_Percent
HMMU,H,M,M,capital - Sabatier,capital,Sabatier,8883429936.928978,8.883429936928978,9325998638.390644,9.325998638390644,-442568701.4616661,-0.4425687014616661,-4.7455368440632615
HMMU,H,M,M,capital - aluminum,capital,aluminum,165280133338.62173,165.28013333862174,0.0,0.0,165280133338.62173,165.28013333862174,0.0
HMMU,H,M,M,capital - aluminum transfer,capital,aluminum transfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,capital - battery,capital,battery,4404786050.379907,4.404786050379907,4395522816.888465,4.395522816888465,9263233.491441727,0.009263233491441727,0.21074247313312894
HMMU,H,M,M,capital - biomass,capital,biomass,22476316455.195427,22.476316455195427,22126026152.212906,22.126026152212905,350290302.98252106,0.35029030298252106,1.5831595812675439
HMMU,H,M,M,capital - co2 atmosphere,capital,co2 atmosphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,capital - co2 stored,capital,co2 stored,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,capital - coal,capital,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,capital - coal boiler,capital,coal boiler,10182110528.421331,10.182110528421331,10081478983.071863,10.081478983071863,100631545.34946823,0.10063154534946823,0.9981823650918868
HMMU,H,M,M,capital - coal cc,capital,coal cc,1526136195.4129114,1.5261361954129113,1689304536.1602154,1.6893045361602155,-163168340.74730396,-0.16316834074730396,-9.658906209900149
HMMU,H,M,M,capital - coal power plant,capital,coal power plant,20951665810.51416,20.95166581051416,20951665810.51416,20.95166581051416,0.0,0.0,0.0
HMMU,H,M,M,capital - gas,capital,gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,capital - gas boiler,capital,gas boiler,13966156980.440151,13.966156980440152,14255384150.611668,14.255384150611668,-289227170.1715164,-0.28922717017151645,-2.028897763229385
HMMU,H,M,M,capital - heat pump,capital,heat pump,53575539430.18145,53.57553943018145,53589024334.10832,53.58902433410832,-13484903.926872253,-0.013484903926872254,-0.025163555587052154
HMMU,H,M,M,capital - hydro_inflow,capital,hydro_inflow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,capital - hydroelectricity,capital,hydroelectricity,17498452351.438705,17.498452351438704,17498452351.438705,17.498452351438704,0.0,0.0,0.0
HMMU,H,M,M,capital - nuclear,capital,nuclear,86094874606.17062,86.09487460617062,88210778625.1668,88.2107786251668,-2115904018.99617,-2.11590401899617,-2.398691012565778
HMMU,H,M,M,capital - offwind,capital,offwind,11693373447.56618,11.693373447566179,11693434231.321491,11.693434231321492,-60783.75531196594,-6.0783755311965944e-05,-0.0005198109820394199
HMMU,H,M,M,capital - onwind,capital,onwind,76559372698.50284,76.55937269850284,75802853586.03603,75.80285358603602,756519112.4668121,0.7565191124668121,0.9980087512248665
HMMU,H,M,M,capital - resistive heater,capital,resistive heater,4955256418.66582,4.955256418665821,4916254267.451522,4.916254267451522,39002151.21429825,0.03900215121429825,0.7933306353276985
HMMU,H,M,M,capital - solar,capital,solar,76818185646.42831,76.81818564642832,76795974646.52713,76.79597464652713,22210999.901184082,0.02221099990118408,0.028922088694642942
HMMU,H,M,M,capital - solar thermal,capital,solar thermal,36009194.40026036,0.03600919440026036,36281004.04144021,0.03628100404144021,-271809.6411798522,-0.0002718096411798522,-0.7491789391202924
HMMU,H,M,M,capital - stations,capital,stations,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,capital - water tanks,capital,water tanks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - AC,marginal,AC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMMU,H,M,M,marginal - CHP coal,marginal,CHP coal,92806170.495379,0.092806170495379,93075544.22023684,0.09307554422023684,-269373.72485783696,-0.00026937372485783695,-0.28941407446454526
HMMU,H,M,M,marginal - CHP gas,marginal,CHP gas,99204791.2299196,0.0992047912299196,100700063.70285764,0.10070006370285764,-1495272.4729380459,-0.001495272472938046,-1.4848773853313992
HMMU,H,M,M,marginal - DAC,marginal,DAC,286660.450421364,0.000286660450421364,174270.5258297385,0.0001742705258297385,112389.92459162549,0.00011238992459162548,64.49164255201131
HMMU,H,M,M,marginal - H2,marginal,H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
