Province,Year,Scenario,Demand_tons_per_second
Anhui,2035,mid,0.023262878510974874
Chongqing,2035,mid,0.005412640804878858
Fujian,2035,mid,0.009000443771737017
Gansu,2035,mid,0.043232080514553524
Guangdong,2035,mid,0.005905840518391469
Guangxi,2035,mid,0.044427416528714105
Guizhou,2035,mid,0.016893430222988285
Hebei,2035,mid,0.0007460766198171195
Heilongjiang,2035,mid,0.002174561577670552
Henan,2035,mid,0.042893117894287125
Hubei,2035,mid,0.0104836295199219
Hunan,2035,mid,0.017789260190326943
InnerMongolia,2035,mid,0.07285274970427505
Jiangsu,2035,mid,0.008437299699227126
Jiangxi,2035,mid,0.023163341559838957
Jilin,2035,mid,0.0011944395243041086
Liaoning,2035,mid,0.008122548139075914
Ningxia,2035,mid,0.013089516157258356
Qinghai,2035,mid,0.026822882513628497
Shaanxi,2035,mid,0.017873552276354725
Shandong,2035,mid,0.07590161965873851
Shanxi,2035,mid,0.01337646875320503
Sichuan,2035,mid,0.015282909207684095
Tibet,2035,mid,3.7661649068060276e-05
Xinjiang,2035,mid,0.07719918274182559
Yunnan,2035,mid,0.06644205186313104
Zhejiang,2035,mid,0.0062035535855004455
Anhui,2040,mid,0.01716263797340907
Chongqing,2040,mid,0.003993280305806161
Fujian,2040,mid,0.006640251247560398
Gansu,2040,mid,0.031895302481956725
Guangdong,2040,mid,0.004357147921226696
Guangxi,2040,mid,0.03277718471583149
Guizhou,2040,mid,0.012463454464992814
Hebei,2040,mid,0.0005504324376841435
Heilongjiang,2040,mid,0.0016043248083352064
Henan,2040,mid,0.03164522626136323
Hubei,2040,mid,0.007734500182893477
Hunan,2040,mid,0.013124370327486392
InnerMongolia,2040,mid,0.053748523337383815
Jiangsu,2040,mid,0.006224780830225814
Jiangxi,2040,mid,0.017089202665026375
Jilin,2040,mid,0.0008812208311663182
Liaoning,2040,mid,0.005992566786899557
Ningxia,2040,mid,0.009657043385586568
Qinghai,2040,mid,0.019789099692349238
Shaanxi,2040,mid,0.013186558442161702
Shandong,2040,mid,0.055997886039070716
Shanxi,2040,mid,0.009868748206098754
Sichuan,2040,mid,0.01127526147670064
Tibet,2040,mid,2.778560908237362e-05
Xinjiang,2040,mid,0.05695518826769121
Yunnan,2040,mid,0.04901890717433836
Zhejiang,2040,mid,0.004576791487190987
Anhui,2045,mid,0.01638795512296018
Chongqing,2045,mid,0.0038130326204132577
Fujian,2045,mid,0.006340525251351255
Gansu,2045,mid,0.03045562031416094
Guangdong,2045,mid,0.004160476070624647
Guangxi,2045,mid,0.031297696368836635
Guizhou,2045,mid,0.011900882181737764
Hebei,2045,mid,0.0005255871562964372
Heilongjiang,2045,mid,0.0015319091973147684
Henan,2045,mid,0.030216831971322543
Hubei,2045,mid,0.007385382252551723
Hunan,2045,mid,0.012531965789710988
InnerMongolia,2045,mid,0.05132243596486363
Jiangsu,2045,mid,0.0059438082335626285
Jiangxi,2045,mid,0.01631783451911822
Jilin,2045,mid,0.000841444506196896
Liaoning,2045,mid,0.005722075809511739
Ningxia,2045,mid,0.009221146182112039
Qinghai,2045,mid,0.018895864271242162
Shaanxi,2045,mid,0.012591346872855635
Shandong,2045,mid,0.05347026749680051
Shanxi,2045,mid,0.009423295123506908
Sichuan,2045,mid,0.010766321550690421
Tibet,2045,mid,2.653142922501477e-05
Xinjiang,2045,mid,0.05438435925740567
Yunnan,2045,mid,0.04680630403054769
Zhejiang,2045,mid,0.00437020542036952
Anhui,2050,mid,0.0132765963682299
Chongqing,2050,mid,0.0030891038363410218
Fujian,2050,mid,0.00513673572408187
Gansu,2050,mid,0.02467342478187969
Guangdong,2050,mid,0.0033705829113464805
Guangxi,2050,mid,0.025355627277883427
Guizhou,2050,mid,0.009641423104181113
Hebei,2050,mid,0.00042580105193826707
Heilongjiang,2050,mid,0.0012410663766727142
Henan,2050,mid,0.024479971942796535
Hubei,2050,mid,0.005983219898792739
Hunan,2050,mid,0.010152691427458855
InnerMongolia,2050,mid,0.0415785411802336
Jiangsu,2050,mid,0.004815337985433676
Jiangxi,2050,mid,0.01321978861233106
Jilin,2050,mid,0.0006816908510683537
Liaoning,2050,mid,0.004635702889182504
Ningxia,2050,mid,0.007470452231152547
Qinghai,2050,mid,0.01530836282353837
Shaanxi,2050,mid,0.010200798629785473
Shandong,2050,mid,0.04331859307215823
Shanxi,2050,mid,0.007634221894971339
Sichuan,2050,mid,0.008722266111091977
Tibet,2050,mid,2.149426662752252e-05
Xinjiang,2050,mid,0.044059138628819924
Yunnan,2050,mid,0.03791982595995689
Zhejiang,2050,mid,0.003540493794201707
Anhui,2055,mid,0.011220045514531747
Chongqing,2055,mid,0.0026106002383110725
Fujian,2055,mid,0.004341053009507426
Gansu,2055,mid,0.020851499990955504
Guangdong,2055,mid,0.002848478075774516
Guangxi,2055,mid,0.02142802900810673
Guizhou,2055,mid,0.00814796225278277
Hebei,2055,mid,0.0003598442741179615
Heilongjiang,2055,mid,0.0010488246269310497
Henan,2055,mid,0.020688013085183303
Hubei,2055,mid,0.005056416398147753
Hunan,2055,mid,0.008580034878794177
InnerMongolia,2055,mid,0.035138006122291364
Jiangsu,2055,mid,0.004069439927668959
Jiangxi,2055,mid,0.01117203730602067
Jilin,2055,mid,0.0005760966262504943
Liaoning,2055,mid,0.00391763039004014
Ningxia,2055,mid,0.006313275761567943
Qinghai,2055,mid,0.012937090416040582
Shaanxi,2055,mid,0.008620690253463325
Shandong,2055,mid,0.036608523179792636
Shanxi,2055,mid,0.006451677429509243
Sichuan,2055,mid,0.007371183098590918
Tibet,2055,mid,1.816479488970387e-05
Xinjiang,2055,mid,0.037234357890804204
Yunnan,2055,mid,0.03204602756410855
Zhejiang,2055,mid,0.002992069685112873
Anhui,2060,mid,0.008265377178833501
Chongqing,2060,mid,0.0019231290643916918
Fujian,2060,mid,0.00319788724835548
Gansu,2060,mid,0.015360500271275699
Guangdong,2060,mid,0.002098364543300769
Guangxi,2060,mid,0.01578520708508722
Guizhou,2060,mid,0.006002291271539294
Hebei,2060,mid,0.000265083474695034
Heilongjiang,2060,mid,0.0007726288743487548
Henan,2060,mid,0.015240065738433783
Hubei,2060,mid,0.0037248680185656188
Hunan,2060,mid,0.0063205826027115265
InnerMongolia,2060,mid,0.02588482137053252
Jiangsu,2060,mid,0.0029978003088512962
Jiangxi,2060,mid,0.008230011373007651
Jilin,2060,mid,0.0004243882880195722
Liaoning,2060,mid,0.002885968045227999
Ningxia,2060,mid,0.004650748103986109
Qinghai,2060,mid,0.009530258299465553
Shaanxi,2060,mid,0.006350531857868477
Shandong,2060,mid,0.026968094884210744
Shanxi,2060,mid,0.0047527033042776695
Sichuan,2060,mid,0.0054300678624866735
Tibet,2060,mid,1.3381307673404355e-05
Xinjiang,2060,mid,0.027429123311539075
Yunnan,2060,mid,0.023607079361451788
Zhejiang,2060,mid,0.0022041429743561588
Anhui,2025,mid,0.0455190969506434
Chongqing,2025,mid,0.010591059117643317
Fujian,2025,mid,0.01761140920076717
Gansu,2025,mid,0.08459336893289374
Guangdong,2025,mid,0.011556116196233946
Guangxi,2025,mid,0.08693231490174713
Guizhou,2025,mid,0.033055827024430766
